Column9,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
572,211304,PUNO,YUNGUYO,CUTURAPI,1344,"30,2","58,1",8
573,90301,HUANCAVELICA,ANGARAES,LIRCAY,25891,"35,8","52,4",8
574,61101,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,14036,"36,1","52,1",8
575,50504,AYACUCHO,LA MAR,CHILCAS,1558,29,"59,1",8
576,200207,PIURA,AYABACA,PAIMAS,10382,"31,1","56,9",8
577,50304,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMAR,2078,"30,8","57,1",8
578,160206,LORETO,ALTO AMAZONAS,LAGUNAS,13684,"36,2","51,6",8
579,50613,AYACUCHO,LUCANAS,OTOCA,1848,30,"57,8",8
58,130303,LA LIBERTAD,BOLÍVAR,CONDORMARCA,2143,"56,6","75,2",4
580,160210,LORETO,ALTO AMAZONAS,SANTA CRUZ,4273,"30,4","57,4",8
581,10107,AMAZONAS,CHACHAPOYAS,GRANADA,539,33,"54,7",8
582,90718,HUANCAVELICA,TAYACAJA,TINTAY PUNCU,2893,"32,6","55,1",8
583,10312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,5757,"35,7",52,8
584,200408,PIURA,MORROPON,SANTA CATALINA DE MOSS,3813,31,"56,6",8
585,210303,PUNO,CARABAYA,AYAPATA,9627,"27,3","60,3",8
586,101007,HUÁNUCO,LAURICOCHA,SAN MIGUEL DE CAURI,5120,"30,6","56,7",8
587,220803,SAN MARTÍN,RIOJA,ELIAS SOPLIN VARGAS,20862,32,"55,1",8
588,50405,AYACUCHO,HUANTA,LURICOCHA,6217,"28,1",59,8
589,50905,AYACUCHO,SUCRE,HUACAÑA,348,"25,8","61,2",8
59,61105,CAJAMARCA,SAN MIGUEL,EL PRADO,1657,"56,7","74,6",4
590,200301,PIURA,HUANCABAMBA,HUANCABAMBA,29446,"31,9","55,1",8
591,100202,HUÁNUCO,AMBO,CAYNA,2391,"29,2","57,8",8
592,100204,HUÁNUCO,AMBO,CONCHAMARCA,4411,"29,2","57,8",8
593,60808,CAJAMARCA,JAEN,PUCARÁ,6850,"34,1","52,9",8
594,50409,AYACUCHO,HUANTA,CANAYRE,4384,"29,9",57,8
595,30209,APURÍMAC,ANDAHUAYLAS,PACUCHA,8367,"29,4","57,4",8
596,10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,590,"32,5","54,3",8
597,30211,APURÍMAC,ANDAHUAYLAS,POMACOCHA,890,"29,9","56,8",8
598,210404,PUNO,CHUCUITO,KELLUYO,6411,"29,5","57,1",8
599,160501,LORETO,REQUENA,REQUENA,28008,36,"50,4",9
6,61007,CAJAMARCA,SAN MARCOS,JOSÉ SABOGAL,13137,"69,8","84,2",2
60,210304,PUNO,CARABAYA,COASA,5932,"49,5","81,8",4
600,30605,APURÍMAC,CHINCHEROS,OCOBAMBA,7036,"29,6","56,7",9
601,21202,ÁNCASH,HUAYLAS,HUALLANCA,1110,"30,9","55,5",9
602,30501,APURÍMAC,COTABAMBAS,TAMBOBAMBA,10789,"30,6","55,7",9
603,40516,AREQUIPA,CAYLLOMA,TAPAY,817,"27,6","58,6",9
604,200306,PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,9395,32,"54,1",9
605,100105,HUÁNUCO,HUÁNUCO,MARGOS,4120,"31,3","54,7",9
606,100106,HUÁNUCO,HUÁNUCO,QUISQUI,3279,"31,3","54,7",9
607,30606,APURÍMAC,CHINCHEROS,ONGOY,2352,"29,6","56,3",9
608,160705,LORETO,DATEM DEL MARAÑÓ,PASTAZA,6170,"33,7","52,2",9
609,210201,PUNO,AZÁNGARO,AZÁNGARO,31615,"32,7","53,2",9
61,130905,LA LIBERTAD,SÁNCHEZ CARRIÓN,MARCABAL,11381,"54,8","76,2",4
610,90611,HUANCAVELICA,HUAYTARÁ,SAN FRANCISCO DE SANGA,1029,28,"57,9",9
